,Cell,Time,Channel,Area,Mean,Variance,Total Intensity,Center of Mass X,Center of Mass Y,Angle of Major Axis,Length Major Axis,Length Minor Axis,Disappeared in video,Growth,Name,Site
4758,80154,22,Channel1,78,2371.9102564102564,176374.8509204471,185009,481.78205128205127,849.6282051282051,74.91888638014501,11.554099466072993,8.804455493881653,False,0.0,8,7&8
4759,80154,23,Channel1,76,2449.4605263157896,209681.51159972296,186159,480.6315789473685,851.3421052631579,75.2205574113472,11.152059686431013,8.882191122479016,False,-2.0,8,7&8
4760,80154,24,Channel1,79,2405.962025316456,159848.3403300753,190071,480.63291139240505,851.8481012658228,77.01916770559379,11.36652891036748,9.04338824241422,False,3.0,8,7&8
4767,80155,0,Channel1,90,3441.322222222222,438999.040617284,309719,461.8,906.6333333333332,70.42283102226371,12.032951336180329,9.630428899732422,False,,8,7&8
4768,80155,1,Channel1,92,3370.3804347826085,569735.6270085066,310075,463.5543478260869,908.5652173913044,65.07576073241044,12.47187077013516,9.494106499410314,False,2.0,8,7&8
4769,80155,2,Channel1,95,3353.6,689723.2084210528,318592,462.7263157894737,909.6842105263158,62.5063830618721,12.325450482671656,9.960771908148075,False,3.0,8,7&8
4770,80155,3,Channel1,94,3224.2978723404253,374895.0176550476,303084,463.968085106383,908.5,63.34837425878299,12.269248550406262,9.897736955357765,False,-1.0,8,7&8
4771,80155,4,Channel1,97,3127.896907216495,347368.07184610487,303406,465.1855670103093,907.4639175257732,64.56770862824276,12.356301170610571,10.105398173267314,False,3.0,8,7&8
4772,80155,5,Channel1,95,2961.0421052631577,306715.68243767315,281299,465.4,907.7789473684212,68.75283195902205,12.407618046998666,9.838764879546629,False,-2.0,8,7&8
4773,80155,6,Channel1,98,2936.387755102041,292414.9312786339,287766,465.55102040816325,906.7857142857144,77.13398505447128,12.3969090923133,10.153782966846205,False,3.0,8,7&8
4774,80155,7,Channel1,97,2827.639175257732,305105.4677436497,274281,465.29896907216494,908.7319587628866,64.37319916270887,12.511336591318583,9.96794499829883,False,-1.0,8,7&8
4775,80155,8,Channel1,100,2823.98,244435.5396,282398,465.5,907.5,71.865018117205,12.750982348638894,10.042250374245944,False,3.0,8,7&8
4776,80155,9,Channel1,96,2744.645833333333,223994.1453993056,263486,465.5520833333333,907.3020833333334,66.04859708051931,12.52111338551168,9.841763870282008,False,-4.0,8,7&8
4777,80155,10,Channel1,99,2653.1111111111118,232979.91694725025,262658,465.5151515151515,906.4444444444443,69.52847838360886,12.67322675948132,10.007599754033158,False,3.0,8,7&8
4778,80155,11,Channel1,100,2610.33,275484.3411,261033,466.23,905.74,65.10245952668089,12.819496344493936,10.043134663915792,False,1.0,8,7&8
4779,80155,12,Channel1,100,2573.78,206213.6316,257378,466.3,905.12,73.38072786016157,12.75992940908634,10.091598639031137,False,0.0,8,7&8
4780,80155,13,Channel1,105,2631.4190476190474,287026.4910657596,276299,465.9142857142857,907.0380952380953,65.10848614036448,13.129927378947098,10.284482232428775,False,5.0,8,7&8
4781,80155,14,Channel1,98,2504.622448979592,211845.99010828824,245453,465.734693877551,904.438775510204,63.33957670687853,12.705411554658475,9.936545725710245,False,-7.0,8,7&8
4782,80155,15,Channel1,97,2511.298969072165,176593.40546285472,243596,464.4639175257732,906.5360824742268,65.80410241951834,12.648275467606677,9.835091838697185,False,-1.0,8,7&8
4783,80155,16,Channel1,100,2470.46,213332.7084,247046,465.17,905.66,60.875410653129855,12.688143280826562,10.12591983024002,False,3.0,8,7&8
4784,80155,17,Channel1,101,2573.5940594059407,191685.4688756004,259933,464.44554455445547,905.4950495049504,70.12570902535533,12.71899280953654,10.191118931661755,False,1.0,8,7&8
4785,80155,18,Channel1,99,2527.79797979798,218191.2117130905,250252,465.4242424242424,905.7373737373738,70.20716849634603,13.148844295438447,9.667022708039438,False,-2.0,8,7&8
4786,80155,19,Channel1,100,1015.61,39389.3979,101561,465.74,902.41,59.41333962790789,12.811960979067702,10.040519892377606,False,1.0,8,7&8
4787,80155,20,Channel1,100,2439.77,214452.25710000005,243977,464.17,904.66,60.875410653129855,12.688143280826562,10.12591983024002,False,0.0,8,7&8
4788,80155,21,Channel1,104,2463.2596153846152,232944.2499075444,256179,464.8942307692308,904.1923076923076,65.10058064215715,13.065565106679006,10.25538931180986,False,4.0,8,7&8
4789,80155,22,Channel1,103,2314.864077669903,185980.35045715905,238431,465.1067961165049,902.5436893203884,59.2400490863001,12.910125675471424,10.242922504826366,False,-1.0,8,7&8
4790,80155,23,Channel1,100,2374.92,160662.9736,237492,463.88,904.36,62.59012331708717,12.88512399697128,10.012610421936069,False,-3.0,8,7&8
4791,80155,24,Channel1,102,2333.676470588235,138891.3757208766,238035,464.0,904.5,59.69349770269731,12.996376905987132,10.0634191574885,False,2.0,8,7&8
4798,80156,0,Channel1,25,3103.2,717285.84,77580,491.12,909.72,23.198590513648263,5.8309518948453,5.696782717756869,False,,8,7&8
4799,80156,1,Channel1,15,3317.9333333333334,682151.3955555556,49769,191.13333333333333,651.5333333333333,-14.036243467926491,4.780914437337575,4.204306182497948,False,-10.0,8,7&8
4800,80156,2,Channel1,24,3036.0,708582.5,72864,191.125,653.0,30.83627889963076,6.208035481298085,5.0887206714104165,False,9.0,8,7&8
4801,80156,3,Channel1,37,2988.5405405405404,766474.8429510593,110576,192.75675675675677,652.4324324324324,16.194057426700454,7.388047866618272,6.568597905967979,False,13.0,8,7&8
4802,80156,4,Channel1,49,2976.244897959184,734285.3277800918,145836,194.2244897959184,651.2244897959183,71.50900712123827,8.267385792913807,7.746229640781739,False,12.0,8,7&8
4803,80156,5,Channel1,54,2727.277777777778,461150.4228395061,147273,194.6851851851852,651.6666666666666,61.5199240407774,8.87070161444056,7.866617997818781,False,5.0,8,7&8
4804,80156,6,Channel1,60,2638.016666666667,339048.3497222222,158281,195.31666666666663,650.7833333333333,85.2536585266106,9.295279160136277,8.341174165852177,False,6.0,8,7&8
4805,80156,7,Channel1,72,2702.8194444444443,347854.2312885802,194603,195.09722222222223,652.7083333333334,-88.70455749148937,10.147301423801958,9.134675115402796,False,12.0,8,7&8
4806,80156,8,Channel1,76,2689.184210526316,341111.3871191135,204378,195.5394736842105,651.1842105263158,-86.53977130292812,10.241206863700214,9.6074056528497,False,4.0,8,7&8
