,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth
Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90042,66.0,-38.0,-13.0,-46.0,75.0,3.0,-9.0,-38.0,97.0,-37.0,26.0,-33.0,30.0,-39.0,32.0,-5.0,62.0,-3.0,-118.0,73.0,-59.0,46.0,40.0,-12.0,-24.0,25.0,-32.0,14.0,8.0,-60.0,42.0,-47.0,9.0,98.0,-34.0,-74.0,86.0,-47.0,16.0,-68.0,47.0,-19.0,51.0,23.0,-71.0,32.0,-36.0,76.0,-64.0,36.0,-25.0,-15.0,-20.0,16.0,-44.0,-22.0,7.0,20.0,10.0,3.0
90043,-15.0,-1.0,-15.0,1.0,1.0,7.0,38.0,8.0,-56.0,48.0,-42.0,51.0,-14.0,-26.0,7.0,21.0,0.0,-55.0,22.0,23.0,-21.0,10.0,35.0,32.0,-52.0,-6.0,-52.0,55.0,-79.0,4.0,-31.0,7.0,36.0,-16.0,-10.0,249.0,-231.0,18.0,-17.0,59.0,-45.0,19.0,59.0,-53.0,7.0,-2.0,-6.0,-28.0,22.0,22.0,10.0,-22.0,23.0,-23.0,-7.0,-2.0,33.0,-13.0,-23.0,3.0
90044,58.0,-58.0,27.0,32.0,24.0,35.0,10.0,-5.0,17.0,2.0,5.0,35.0,3.0,-12.0,26.0,17.0,46.0,-16.0,-10.0,-1.0,-3.0,-12.0,32.0,-27.0,21.0,-42.0,10.0,24.0,-13.0,0.0,10.0,18.0,-50.0,47.0,-3.0,-3.0,11.0,10.0,26.0,-46.0,57.0,-12.0,-30.0,55.0,11.0,-39.0,41.0,-28.0,21.0,-24.0,55.0,-64.0,34.0,-28.0,60.0,5.0,-22.0,-21.0,7.0,13.0
90045,92.0,-27.0,-4.0,-59.0,46.0,-49.0,-13.0,-45.0,30.0,63.0,28.0,-87.0,37.0,20.0,80.0,-132.0,87.0,50.0,-11.0,-20.0,31.0,33.0,-21.0,-95.0,49.0,-5.0,0.0,-9.0,8.0,-6.0,3.0,-12.0,10.0,10.0,2.0,-19.0,46.0,-22.0,-33.0,67.0,-23.0,2.0,-16.0,3.0,4.0,54.0,-29.0,-15.0,-34.0,39.0,-19.0,53.0,-25.0,-3.0,-5.0,-37.0,43.0,-6.0,-15.0,4.0
90046,38.0,-29.0,1.0,30.0,-120.0,-37.0,-7.0,181.0,-182.0,-21.0,21.0,17.0,28.0,-33.0,12.0,-26.0,-7.0,12.0,-6.0,1.0,7.0,20.0,-6.0,38.0,-42.0,125.0,-130.0,0.0,22.0,-4.0,-20.0,-35.0,37.0,22.0,14.0,-23.0,-2.0,39.0,-33.0,-17.0,27.0,-10.0,-42.0,61.0,111.0,-10.0,25.0,-50.0,-42.0,7.0,88.0,-155.0,28.0,-50.0,17.0,65.0,-20.0,29.0,18.0,-75.0
90047,-21.0,140.0,-15.0,75.0,-161.0,-9.0,-3.0,239.0,-202.0,56.0,-44.0,57.0,-53.0,5.0,-7.0,-22.0,-23.0,12.0,-4.0,44.0,20.0,-66.0,13.0,52.0,-5.0,-42.0,125.0,-131.0,94.0,16.0,-53.0,41.0,-34.0,-4.0,-3.0,-27.0,18.0,-167.0,60.0,,,,,,,,,,,,,,,,,,,,,
90050,7.0,28.0,28.0,59.0,-73.0,24.0,-12.0,-16.0,36.0,47.0,-62.0,16.0,57.0,-69.0,78.0,-71.0,3.0,-5.0,13.0,79.0,-42.0,28.0,-16.0,28.0,-8.0,-34.0,-3.0,57.0,-37.0,-16.0,32.0,-13.0,2.0,-5.0,5.0,16.0,-19.0,-88.0,13.0,-2.0,-18.0,-7.0,-10.0,28.0,-30.0,13.0,-2.0,5.0,12.0,-13.0,-7.0,16.0,-13.0,14.0,23.0,1.0,-34.0,23.0,-21.0,-1.0
90052,69.0,15.0,-16.0,-33.0,19.0,6.0,-10.0,-64.0,60.0,14.0,15.0,-52.0,19.0,-21.0,43.0,-36.0,15.0,-25.0,6.0,72.0,-35.0,32.0,-13.0,-62.0,52.0,21.0,-14.0,-6.0,44.0,-70.0,17.0,3.0,-7.0,-2.0,-3.0,29.0,-9.0,-62.0,7.0,-43.0,49.0,28.0,-31.0,-1.0,21.0,28.0,-26.0,-13.0,-2.0,14.0,-9.0,-56.0,55.0,-4.0,22.0,-28.0,18.0,-19.0,-6.0,41.0
90053,-34.0,16.0,-2.0,-90.0,120.0,-22.0,8.0,53.0,-65.0,25.0,-6.0,11.0,2.0,-13.0,24.0,-3.0,-14.0,-9.0,-13.0,27.0,-6.0,10.0,0.0,-55.0,46.0,3.0,-1.0,-7.0,3.0,-31.0,4.0,5.0,14.0,2.0,3.0,-44.0,34.0,140.0,4.0,-172.0,-43.0,-2.0,40.0,72.0,8.0,15.0,78.0,-59.0,21.0,7.0,67.0,90.0,-5.0,-41.0,-1.0,-5.0,-2.0,-27.0,4.0,42.0
90054,153.0,18.0,-10.0,116.0,-108.0,-32.0,23.0,-4.0,7.0,11.0,-15.0,52.0,-77.0,43.0,26.0,-12.0,-6.0,-13.0,15.0,19.0,3.0,-51.0,31.0,-18.0,2.0,-14.0,-2.0,10.0,6.0,-11.0,7.0,-5.0,6.0,0.0,11.0,-1.0,-17.0,8.0,46.0,-92.0,-35.0,-58.0,-20.0,-6.0,-12.0,45.0,-39.0,-31.0,-56.0,103.0,9.0,-30.0,97.0,-78.0,70.0,10.0,-12.0,29.0,-18.0,10.0
90055,83.0,-34.0,22.0,-13.0,-32.0,47.0,-1.0,-61.0,75.0,14.0,-78.0,-12.0,66.0,-43.0,37.0,-19.0,27.0,25.0,-57.0,6.0,-6.0,23.0,26.0,-88.0,87.0,-56.0,37.0,-34.0,44.0,-18.0,16.0,-24.0,12.0,7.0,16.0,-47.0,16.0,54.0,23.0,-115.0,50.0,50.0,-45.0,-6.0,-6.0,39.0,6.0,-1.0,6.0,-1.0,5.0,-9.0,32.0,-3.0,-6.0,-15.0,22.0,-34.0,17.0,5.0
90057,56.0,31.0,45.0,-145.0,79.0,22.0,-4.0,-99.0,87.0,4.0,10.0,-50.0,65.0,-7.0,-9.0,-63.0,81.0,-19.0,-6.0,7.0,42.0,-42.0,14.0,-48.0,88.0,-68.0,32.0,-35.0,86.0,-66.0,50.0,-13.0,-24.0,46.0,-27.0,-91.0,68.0,-10.0,-13.0,-7.0,18.0,2.0,-15.0,29.0,3.0,3.0,21.0,-46.0,-17.0,15.0,32.0,10.0,-1.0,-17.0,26.0,-5.0,0.0,-5.0,10.0,21.0
