field-of-view,high,low,high/low ratio,TF,TF Plate,Row,Col,z_scores,p_scores
159,1.0944426012930546,1.0521706533719635,1.0401759427385846,MFG1,2,G,3,-0.1324809951856471,0.8946038541658591
72,1.0909522597837786,1.0487005430512513,1.0402895917356862,Cup9,2,C,12,-0.12767631138324134,0.8984051374194648
121,1.0818625934618857,1.0398320609409248,1.0404205006748188,OAF3,2,F,12,-0.12214193734140151,0.9027866093066204
155,1.096954712989955,1.0485788718809694,1.0461346708447479,Gal3,1,G,11,0.11943327722114501,0.904932098557014
112,1.0996384914196518,1.0513520667864713,1.0459279304798166,Lsm1,2,E,4,0.1106930145877632,0.9118597854895822
34,1.1148904569057638,1.07111510187463,1.040868955123982,Mig2,2,B,3,-0.10318284502240735,0.9178178549218152
27,1.094360355095393,1.0467223550693079,1.0455115912977047,Pho4,2,B,10,0.09309164391476969,0.925830755799458
162,1.1057310309579167,1.0576253266143025,1.04548463726527,RDS2,2,G,6,0.09195212129379447,0.9267360800292389
160,1.0909561919387663,1.0476507581204708,1.0413357538116874,ERT1,2,G,4,-0.08344822218366477,0.9334951464322185
8,1.1640086471138749,1.113634820698579,1.0452337027174639,Swi4,1,A,8,0.08134348251953646,0.9351687944909763
119,1.1008483937906044,1.0568392382404648,1.0416422422235292,Pex2,2,E,11,-0.0704909595103813,0.9438028959174685
142,1.1162744826804978,1.0716310658759574,1.0416593156228153,Rtg2,1,F,3,-0.06976915564854215,0.9443773975596566
153,1.0983406244894403,1.0543094730573461,1.0417630236257007,Rim101,1,G,9,-0.06538474246100079,0.9478676718355842
130,1.0936124145279997,1.049543597635289,1.041988552921481,Dig2,2,F,3,-0.05585014926583049,0.9554611839216559
21,1.1392537723188971,1.090778750884846,1.0444407460218013,Cad1,2,A,9,0.047820034985267774,0.9618596692119824
186,1.0870139366655975,1.0430201889496376,1.0421791909514844,Tec1,1,H,7,-0.04779063727505847,0.9618830984038252
67,1.105211371694867,1.0583553272563127,1.044272507759775,Tye7,2,C,7,0.04070750717492913,0.9675290766979299
126,1.0965045778695341,1.0519511532776187,1.042353130611719,TDA9,2,F,7,-0.040437074204209486,0.9677446734682149
134,1.0989489022551588,1.0542317324728092,1.0424168315228577,Spt8,1,F,11,-0.03774402152665329,0.9698917768827273
122,1.0842551623264731,1.0400474114710656,1.042505515006166,URC2,2,F,11,-0.03399479270230186,0.972881303124329
25,1.1069065142637122,1.061591423281456,1.0426859995177655,Yap3,2,B,12,-0.026364536108906482,0.9789665803964706
111,1.1204845903670846,1.074607176889833,1.0426922641723197,Arg80,2,E,3,-0.026099688331698043,0.9791778256543107
123,1.091236231514545,1.0464086942165787,1.0428394159430485,YKL222C,2,F,10,-0.01987862393740772,0.9841401974029933
185,1.1069963964102563,1.061387383370998,1.0429711279348381,Mig1,1,H,8,-0.014310299625946897,0.9885824225601388
165,1.0873296101786982,1.0418680705266476,1.0436346414081683,OAF1,2,G,9,0.013740739268273489,0.9890368212740664
180,1.0838794382845918,1.0391203155890028,1.0430740521805872,TOG1,2,H,1,-0.009959020960608522,0.9920539822854874
166,1.0884342742052064,1.0433831050001179,1.0431779745993524,GAL4,2,G,10,-0.005565543016399419,0.9955593620797349
78,1.1066546458816862,,,Sub1,2,D,7,,
