,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth
Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.0,-37.0,-63.0,-140.0,107.0,-100.0,213.0,-16.0,-111.0,148.0,84.0,-48.0,-37.0,-51.0,-159.0,40.0,0.0,34.0,23.0,63.0,-48.0
10223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,
10227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.0,-25.0,74.0,-47.0,54.0,4.0,10.0,29.0,-44.0,-135.0,,,,,,,,,,,
10230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,20.0,-3.0,8.0,-34.0,-1.0,74.0,-74.0,25.0,-22.0,6.0,29.0,-10.0,-26.0,-2.0,27.0,-19.0
10233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.0,-119.0,296.0,-32.0,44.0,6.0,39.0,12.0,-60.0,32.0,133.0,1.0,-9.0,-142.0,32.0,0.0,44.0
10236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,32.0,47.0,-95.0,20.0,-16.0,290.0,-233.0,29.0,-77.0,253.0,-72.0,-15.0,-6.0,-9.0,11.0,-34.0
10241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,-158.0,15.0,17.0,-26.0,40.0,56.0,-154.0,147.0,-99.0,104.0,-15.0,9.0,42.0,-45.0,27.0,12.0
10246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.0,-33.0,133.0,101.0,-46.0,-19.0,32.0,-12.0,21.0,61.0,-82.0,-3.0,-136.0,99.0,99.0,23.0
10251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.0,-260.0,-35.0,45.0,207.0,-142.0,114.0,10.0,36.0,19.0,-11.0,-12.0,61.0,-5.0,-65.0
10252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.0,-143.0,-92.0,-5.0,,,,,,,,,,,
10268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,-150.0,-15.0,-11.0,32.0,-10.0,78.0,-72.0,152.0,-86.0,165.0
10269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0,79.0,12.0,-78.0,185.0,-45.0,42.0,7.0,32.0,-29.0,-17.0
10270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.0,-73.0,-32.0,-169.0,,,,,,,
10281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,-160.0,211.0,17.0,-78.0,21.0,111.0,-12.0
10284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.0,-2.0,52.0,-31.0,,,,
10285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,13.0,223.0,19.0,37.0,25.0,17.0,155.0
10290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-36.0,21.0,24.0,18.0,1.0,-106.0,-16.0
10292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,4.0,-2.0,40.0,-32.0,171.0
10294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40.0,289.0,6.0,1.0,9.0,-82.0
10295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.0,50.0,-42.0,34.0,-45.0,-8.0
10296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.0,57.0,-102.0,50.0,-32.0,65.0
10300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,,,,
10306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,-22.0,59.0,41.0,55.0
10310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,17.0,10.0,34.0,14.0
10311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,121.0,-20.0,12.0
10315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-115.0,27.0,-2.0,-24.0
10317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,17.0
10326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
10327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.0
10329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.0
10330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.0
20002,-13.0,33.0,36.0,-78.0,56.0,-41.0,44.0,-19.0,4.0,-9.0,-1.0,-7.0,0.0,42.0,-29.0,-14.0,-19.0,-1.0,1.0,-13.0,10.0,20.0,7.0,-41.0,32.0,15.0,-7.0,-1.0,-7.0,13.0,-21.0,-26.0,33.0,-9.0,44.0,12.0,9.0,0.0,13.0,-61.0,-20.0,-7.0,-4.0,-518.0,-17.0,2.0,135.0,12.0,12.0,25.0,-15.0,1.0,-20.0,1.0,16.0,-23.0,20.0,-74.0,7.0,25.0
20003,5.0,10.0,50.0,-41.0,16.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20005,-5.0,16.0,19.0,-19.0,-13.0,11.0,-4.0,-10.0,27.0,-2.0,40.0,-50.0,33.0,0.0,18.0,-34.0,7.0,2.0,17.0,-36.0,36.0,2.0,0.0,20.0,-17.0,38.0,-40.0,-22.0,52.0,-31.0,-2.0,-29.0,11.0,12.0,40.0,-37.0,-29.0,-3.0,132.0,42.0,28.0,8.0,-10.0,-7.0,32.0,27.0,-61.0,19.0,-23.0,19.0,17.0,-183.0,24.0,-6.0,13.0,-20.0,-51.0,-59.0,-72.0,-68.0
20006,14.0,83.0,28.0,-11.0,46.0,11.0,38.0,-9.0,53.0,-17.0,-14.0,6.0,10.0,32.0,15.0,2.0,38.0,47.0,-16.0,-1.0,-25.0,13.0,-6.0,6.0,5.0,-37.0,45.0,-19.0,-14.0,5.0,3.0,-56.0,78.0,-26.0,19.0,-3.0,-10.0,33.0,-4.0,30.0,-23.0,11.0,0.0,28.0,16.0,-8.0,39.0,-25.0,41.0,12.0,-4.0,-6.0,18.0,-12.0,8.0,16.0,-10.0,-11.0,42.0,-29.0
20007,-18.0,40.0,13.0,-13.0,2.0,-23.0,28.0,-3.0,22.0,-5.0,5.0,37.0,-42.0,18.0,-31.0,1.0,11.0,3.0,-3.0,-30.0,38.0,-127.0,14.0,4.0,-8.0,-1.0,3.0,-29.0,-9.0,3.0,-6.0,-14.0,17.0,3.0,-7.0,11.0,-2.0,-49.0,4.0,8.0,10.0,-10.0,6.0,-17.0,9.0,-5.0,8.0,234.0,-22.0,57.0,-24.0,-27.0,7.0,-15.0,26.0,-32.0,-22.0,39.0,18.0,71.0
20008,20.0,43.0,38.0,-56.0,46.0,23.0,12.0,-5.0,52.0,-30.0,34.0,-35.0,22.0,10.0,-22.0,0.0,-7.0,2.0,5.0,21.0,-4.0,-18.0,-16.0,68.0,-17.0,-19.0,-1.0,33.0,-1.0,-32.0,18.0,-19.0,8.0,-10.0,23.0,15.0,14.0,-53.0,25.0,17.0,0.0,-39.0,-16.0,-6.0,90.0,-10.0,-33.0,-2.0,3.0,-10.0,-181.0,-6.0,4.0,-14.0,15.0,3.0,-116.0,-7.0,-36.0,-40.0
20009,21.0,27.0,26.0,-50.0,48.0,-7.0,-2.0,-36.0,6.0,-29.0,10.0,-15.0,-39.0,-89.0,-53.0,25.0,-37.0,58.0,28.0,69.0,-27.0,-11.0,48.0,32.0,-30.0,-1.0,-4.0,35.0,-25.0,-3.0,4.0,-129.0,-39.0,14.0,-13.0,-19.0,30.0,-128.0,42.0,52.0,-44.0,8.0,-13.0,-3.0,22.0,11.0,33.0,54.0,-59.0,20.0,-105.0,36.0,-47.0,-10.0,14.0,5.0,-21.0,-5.0,-5.0,34.0
